ref,description,vente,euro,achat,pts
414211,Premium-Set Evo,4490.00,,3367.5,1500
415000,Beauty-Pack Evo,799.00,,599.25,270
434000,B.Spot Evo,229.00,,171.75,80
434100,B.Pad Evo,399.00,,299.25,130
434300,B.Body Evo,699.00,,524.25,230
434400,B.Bed Evo,799.00,,599.25,270
454000,B.Grip Evo,179.00,,134.25,80
412300,Horse-Set,4490.00,,3367.5,1350
422200,Couverture cheval,2490.00,,2867.50,775
423500,Guêtres,2750.00,,2062.50,845
423700,Applicateur d'encolure,2350.00,,1762.50,
444000,Bloc secteur B.Box Evo,129.00,,109.65,
444100,Adaptateur voiture B.Box Evo,99.00,,84.15,
450500,Protection des pieds,59.90,,50.92,
454100,Support batterie B.Box Evo,299.00,,254.15,
454200,Sangle de fixation B.Grip Evo,89.00,,75.65,
454400,Rallonge velcro B.Pad Evo,39.90,,33.92,
454500,Rallonge pour applicateurs Evo,69.00,,58.65,
454700,Sangle de fixation B.Bed Evo,49.90,,42.42,
454800,Support B.Box Evo,99.00,,84.15,
454900,Lunettes de protection B.Light Evo,36.90,,31.37,
455000,Sac de voyage,129.00,,109.65,
455300,Sac de transport pour Horse-set,173.00,,147.05,
422800,Couverture séchante,179.00,,152.15,
423600,Sous-bandes pour guêtres,151.00,,128.35,
459000,Jeu de sangles pour Horse-set,135.00,,114.75,
440900,Chargeur avec adaptateur et câble à double embout,169.00,,143.65,
440950,Adaptateur en Y pour le chargeur Horse-set,83.00,,70.55,
